번호,매출키,지점,구분,매출구분,이용항목,이용개월,할인금액,결제금액,결제수단,카드사,"결제금액
과세","결제금액
면세",결제일,이용시작일,이용종료일,결제구분,제휴쿠폰(주문)번호,프로모션 할인,기타 특이사항,회원키
1,1031147,39호,좌석매출,매출,자유석,1,0,110800,카드,KB국민카드,0,110800,2021-03-01,2021-03-01,2021-03-30,온라인결제,,,,17146
2,1031147,39호,좌석매출,매출,자유석,1,0,44200,카드,KB국민카드,44200,0,2021-03-01,2021-03-01,2021-03-30,온라인결제,,,,17146
3,1031148,30호,좌석매출,매출,포커스석,1,0,110800,카드,삼성 마스타,0,110800,2021-03-01,2021-03-03,2021-04-01,키오스크결제,,,,12866
4,1031148,30호,좌석매출,매출,포커스석,1,0,59200,카드,삼성 마스타,59200,0,2021-03-01,2021-03-03,2021-04-01,키오스크결제,,,,12866
5,1031149,19호,좌석매출,매출,사물함,0,0,9500,카드,삼성카드사,9500,0,2021-03-01,2021-03-01,2021-03-01,온라인결제,,,,7730
6,1031150,10호,좌석매출,매출,포커스석,1,0,144000,카드,하나카드,0,144000,2021-03-01,2021-03-02,2021-03-31,온라인결제,,,,4275
7,1031150,10호,좌석매출,매출,포커스석,1,0,26000,카드,하나카드,26000,0,2021-03-01,2021-03-02,2021-03-31,온라인결제,,,,4275
8,1031151,27호,좌석매출,매출,포커스석,1,0,120000,카드,현대카드사,0,120000,2021-03-01,2021-03-01,2021-03-30,온라인결제,,,,11804
9,1031151,27호,좌석매출,매출,포커스석,1,0,30000,카드,현대카드사,30000,0,2021-03-01,2021-03-01,2021-03-30,온라인결제,,,,11804
10,1031152,17호,좌석매출,매출,고정석,1,0,144000,카드,신한카드,0,144000,2021-03-01,2021-03-02,2021-04-02,온라인결제,,,,6946
11,1031152,17호,좌석매출,매출,고정석,1,0,51000,카드,신한카드,51000,0,2021-03-01,2021-03-02,2021-04-02,온라인결제,,,,6946
12,1031157,07호,좌석매출,매출,자유석,3,36750,534000,카드,롯데카드사,0,534000,2021-03-01,2021-03-02,2021-06-01,온라인결제,,,,2755
13,1031157,07호,좌석매출,매출,자유석,3,36750,164250,카드,롯데카드사,164250,0,2021-03-01,2021-03-02,2021-06-01,온라인결제,,,,2755
14,1031161,18호,좌석매출,매출,자유석,1,0,145000,카드,삼성카드사,0,145000,2021-03-01,2021-03-03,2021-04-01,온라인결제,,,,6970
15,1031161,18호,좌석매출,매출,자유석,1,0,10000,카드,삼성카드사,10000,0,2021-03-01,2021-03-03,2021-04-01,온라인결제,,,,6970
16,1031169,05호,좌석매출,매출,고정석,1,0,144000,카드,KB국민카드,0,144000,2021-03-01,2021-03-02,2021-04-01,온라인결제,,,,1886
